slot,latency_us,deadline_miss,emulation_mode,measurement_type
0,16804,1,async-cxl-pipeline,async-pipeline-cxl
1,17866,1,async-cxl-pipeline,async-pipeline-cxl
2,18855,1,async-cxl-pipeline,async-pipeline-cxl
3,18321,1,async-cxl-pipeline,async-pipeline-cxl
4,25298,1,async-cxl-pipeline,async-pipeline-cxl
5,16947,1,async-cxl-pipeline,async-pipeline-cxl
6,5993,1,async-cxl-pipeline,async-pipeline-cxl
7,8155,1,async-cxl-pipeline,async-pipeline-cxl
8,5516,1,async-cxl-pipeline,async-pipeline-cxl
9,5406,1,async-cxl-pipeline,async-pipeline-cxl
10,6224,1,async-cxl-pipeline,async-pipeline-cxl
11,4855,1,async-cxl-pipeline,async-pipeline-cxl
12,6084,1,async-cxl-pipeline,async-pipeline-cxl
13,8676,1,async-cxl-pipeline,async-pipeline-cxl
14,14352,1,async-cxl-pipeline,async-pipeline-cxl
15,14986,1,async-cxl-pipeline,async-pipeline-cxl
16,18302,1,async-cxl-pipeline,async-pipeline-cxl
17,12596,1,async-cxl-pipeline,async-pipeline-cxl
18,16073,1,async-cxl-pipeline,async-pipeline-cxl
19,19638,1,async-cxl-pipeline,async-pipeline-cxl
20,14637,1,async-cxl-pipeline,async-pipeline-cxl
21,15491,1,async-cxl-pipeline,async-pipeline-cxl
22,15293,1,async-cxl-pipeline,async-pipeline-cxl
23,14717,1,async-cxl-pipeline,async-pipeline-cxl
24,12201,1,async-cxl-pipeline,async-pipeline-cxl
25,12061,1,async-cxl-pipeline,async-pipeline-cxl
26,5808,1,async-cxl-pipeline,async-pipeline-cxl
27,10157,1,async-cxl-pipeline,async-pipeline-cxl
28,13374,1,async-cxl-pipeline,async-pipeline-cxl
29,12547,1,async-cxl-pipeline,async-pipeline-cxl
30,13218,1,async-cxl-pipeline,async-pipeline-cxl
31,12752,1,async-cxl-pipeline,async-pipeline-cxl
32,15957,1,async-cxl-pipeline,async-pipeline-cxl
33,12072,1,async-cxl-pipeline,async-pipeline-cxl
34,16988,1,async-cxl-pipeline,async-pipeline-cxl
35,15009,1,async-cxl-pipeline,async-pipeline-cxl
36,14714,1,async-cxl-pipeline,async-pipeline-cxl
37,11256,1,async-cxl-pipeline,async-pipeline-cxl
38,10884,1,async-cxl-pipeline,async-pipeline-cxl
39,11190,1,async-cxl-pipeline,async-pipeline-cxl
40,5313,1,async-cxl-pipeline,async-pipeline-cxl
41,5121,1,async-cxl-pipeline,async-pipeline-cxl
42,5452,1,async-cxl-pipeline,async-pipeline-cxl
43,10879,1,async-cxl-pipeline,async-pipeline-cxl
44,11594,1,async-cxl-pipeline,async-pipeline-cxl
45,15573,1,async-cxl-pipeline,async-pipeline-cxl
46,12859,1,async-cxl-pipeline,async-pipeline-cxl
