slot,latency_us,deadline_miss,emulation_mode,n_codeblocks,per_cb_us
0,815.576,1,wsl2-mmap-shm-fallback,4,203.894
1,782.676,1,wsl2-mmap-shm-fallback,4,195.669
2,806.652,1,wsl2-mmap-shm-fallback,4,201.663
3,879.808,1,wsl2-mmap-shm-fallback,4,219.952
4,871.488,1,wsl2-mmap-shm-fallback,4,217.872
5,875.628,1,wsl2-mmap-shm-fallback,4,218.907
6,801.392,1,wsl2-mmap-shm-fallback,4,200.348
7,896.936,1,wsl2-mmap-shm-fallback,4,224.234
8,777.720,1,wsl2-mmap-shm-fallback,4,194.430
9,782.676,1,wsl2-mmap-shm-fallback,4,195.669
10,903.528,1,wsl2-mmap-shm-fallback,4,225.882
11,797.924,1,wsl2-mmap-shm-fallback,4,199.481
12,875.628,1,wsl2-mmap-shm-fallback,4,218.907
13,799.652,1,wsl2-mmap-shm-fallback,4,199.913
14,871.488,1,wsl2-mmap-shm-fallback,4,217.872
15,806.652,1,wsl2-mmap-shm-fallback,4,201.663
16,799.652,1,wsl2-mmap-shm-fallback,4,199.913
17,797.924,1,wsl2-mmap-shm-fallback,4,199.481
18,905.748,1,wsl2-mmap-shm-fallback,4,226.437
19,797.924,1,wsl2-mmap-shm-fallback,4,199.481
20,905.748,1,wsl2-mmap-shm-fallback,4,226.437
21,841.644,1,wsl2-mmap-shm-fallback,4,210.411
22,869.432,1,wsl2-mmap-shm-fallback,4,217.358
23,940.408,1,wsl2-mmap-shm-fallback,4,235.102
24,779.364,1,wsl2-mmap-shm-fallback,4,194.841
25,794.484,1,wsl2-mmap-shm-fallback,4,198.621
26,810.196,1,wsl2-mmap-shm-fallback,4,202.549
27,815.576,1,wsl2-mmap-shm-fallback,4,203.894
28,808.420,1,wsl2-mmap-shm-fallback,4,202.105
29,841.644,1,wsl2-mmap-shm-fallback,4,210.411
30,796.200,1,wsl2-mmap-shm-fallback,4,199.050
31,804.892,1,wsl2-mmap-shm-fallback,4,201.223
32,796.200,1,wsl2-mmap-shm-fallback,4,199.050
33,776.084,1,wsl2-mmap-shm-fallback,4,194.021
34,919.300,1,wsl2-mmap-shm-fallback,4,229.825
35,877.716,1,wsl2-mmap-shm-fallback,4,219.429
36,804.892,1,wsl2-mmap-shm-fallback,4,201.223
37,808.420,1,wsl2-mmap-shm-fallback,4,202.105
38,801.392,1,wsl2-mmap-shm-fallback,4,200.348
39,796.200,1,wsl2-mmap-shm-fallback,4,199.050
40,794.484,1,wsl2-mmap-shm-fallback,4,198.621
41,799.652,1,wsl2-mmap-shm-fallback,4,199.913
42,799.652,1,wsl2-mmap-shm-fallback,4,199.913
43,797.924,1,wsl2-mmap-shm-fallback,4,199.481
44,1012.748,1,wsl2-mmap-shm-fallback,4,253.187
45,926.232,1,wsl2-mmap-shm-fallback,4,231.558
46,819.200,1,wsl2-mmap-shm-fallback,4,204.800
47,784.340,1,wsl2-mmap-shm-fallback,4,196.085
48,797.924,1,wsl2-mmap-shm-fallback,4,199.481
49,811.984,1,wsl2-mmap-shm-fallback,4,202.996
50,796.200,1,wsl2-mmap-shm-fallback,4,199.050
51,799.652,1,wsl2-mmap-shm-fallback,4,199.913
52,797.924,1,wsl2-mmap-shm-fallback,4,199.481
53,1018.344,1,wsl2-mmap-shm-fallback,4,254.586
54,799.652,1,wsl2-mmap-shm-fallback,4,199.913
55,857.304,1,wsl2-mmap-shm-fallback,4,214.326
56,940.408,1,wsl2-mmap-shm-fallback,4,235.102
57,797.924,1,wsl2-mmap-shm-fallback,4,199.481
58,797.924,1,wsl2-mmap-shm-fallback,4,199.481
59,797.924,1,wsl2-mmap-shm-fallback,4,199.481
60,804.892,1,wsl2-mmap-shm-fallback,4,201.223
61,797.924,1,wsl2-mmap-shm-fallback,4,199.481
62,884.028,1,wsl2-mmap-shm-fallback,4,221.007
63,799.652,1,wsl2-mmap-shm-fallback,4,199.913
64,837.820,1,wsl2-mmap-shm-fallback,4,209.455
65,784.340,1,wsl2-mmap-shm-fallback,4,196.085
66,942.812,1,wsl2-mmap-shm-fallback,4,235.703
67,907.980,1,wsl2-mmap-shm-fallback,4,226.995
68,801.392,1,wsl2-mmap-shm-fallback,4,200.348
69,835.920,1,wsl2-mmap-shm-fallback,4,208.980
70,804.892,1,wsl2-mmap-shm-fallback,4,201.223
71,797.924,1,wsl2-mmap-shm-fallback,4,199.481
72,851.364,1,wsl2-mmap-shm-fallback,4,212.841
73,843.568,1,wsl2-mmap-shm-fallback,4,210.892
74,928.564,1,wsl2-mmap-shm-fallback,4,232.141
75,799.652,1,wsl2-mmap-shm-fallback,4,199.913
76,803.136,1,wsl2-mmap-shm-fallback,4,200.784
77,810.196,1,wsl2-mmap-shm-fallback,4,202.549
78,863.324,1,wsl2-mmap-shm-fallback,4,215.831
79,824.696,1,wsl2-mmap-shm-fallback,4,206.174
80,801.392,1,wsl2-mmap-shm-fallback,4,200.348
81,803.136,1,wsl2-mmap-shm-fallback,4,200.784
82,828.404,1,wsl2-mmap-shm-fallback,4,207.101
83,888.288,1,wsl2-mmap-shm-fallback,4,222.072
84,821.024,1,wsl2-mmap-shm-fallback,4,205.256
85,799.652,1,wsl2-mmap-shm-fallback,4,199.913
86,834.028,1,wsl2-mmap-shm-fallback,4,208.507
87,797.924,1,wsl2-mmap-shm-fallback,4,199.481
88,923.908,1,wsl2-mmap-shm-fallback,4,230.977
89,879.808,1,wsl2-mmap-shm-fallback,4,219.952
90,811.984,1,wsl2-mmap-shm-fallback,4,202.996
91,797.924,1,wsl2-mmap-shm-fallback,4,199.481
92,822.856,1,wsl2-mmap-shm-fallback,4,205.714
93,877.716,1,wsl2-mmap-shm-fallback,4,219.429
94,970.104,1,wsl2-mmap-shm-fallback,4,242.526
95,896.936,1,wsl2-mmap-shm-fallback,4,224.234
96,1224.716,1,wsl2-mmap-shm-fallback,4,306.179
97,1032.604,1,wsl2-mmap-shm-fallback,4,258.151
98,859.300,1,wsl2-mmap-shm-fallback,4,214.825
99,851.364,1,wsl2-mmap-shm-fallback,4,212.841
