slot,latency_us,deadline_miss,emulation_mode
0,412403,1,cpu-baseline-synthetic
1,398451,1,cpu-baseline-synthetic
2,410717,1,cpu-baseline-synthetic
3,407038,1,cpu-baseline-synthetic
4,411699,1,cpu-baseline-synthetic
5,407807,1,cpu-baseline-synthetic
6,411440,1,cpu-baseline-synthetic
7,403640,1,cpu-baseline-synthetic
8,411118,1,cpu-baseline-synthetic
9,406550,1,cpu-baseline-synthetic
10,407265,1,cpu-baseline-synthetic
11,407983,1,cpu-baseline-synthetic
12,402768,1,cpu-baseline-synthetic
13,407739,1,cpu-baseline-synthetic
14,410314,1,cpu-baseline-synthetic
15,406969,1,cpu-baseline-synthetic
16,410861,1,cpu-baseline-synthetic
17,404502,1,cpu-baseline-synthetic
18,408807,1,cpu-baseline-synthetic
19,406284,1,cpu-baseline-synthetic
20,411381,1,cpu-baseline-synthetic
21,401375,1,cpu-baseline-synthetic
22,402698,1,cpu-baseline-synthetic
23,399997,1,cpu-baseline-synthetic
24,401505,1,cpu-baseline-synthetic
25,433374,1,cpu-baseline-synthetic
26,402887,1,cpu-baseline-synthetic
27,396726,1,cpu-baseline-synthetic
28,400847,1,cpu-baseline-synthetic
29,404840,1,cpu-baseline-synthetic
30,408003,1,cpu-baseline-synthetic
31,407008,1,cpu-baseline-synthetic
32,403323,1,cpu-baseline-synthetic
33,404311,1,cpu-baseline-synthetic
34,402749,1,cpu-baseline-synthetic
35,406053,1,cpu-baseline-synthetic
36,403298,1,cpu-baseline-synthetic
37,400012,1,cpu-baseline-synthetic
38,402020,1,cpu-baseline-synthetic
39,409793,1,cpu-baseline-synthetic
40,406224,1,cpu-baseline-synthetic
41,398410,1,cpu-baseline-synthetic
42,400358,1,cpu-baseline-synthetic
43,406623,1,cpu-baseline-synthetic
44,405850,1,cpu-baseline-synthetic
45,408376,1,cpu-baseline-synthetic
46,400147,1,cpu-baseline-synthetic
47,403746,1,cpu-baseline-synthetic
48,399388,1,cpu-baseline-synthetic
49,403358,1,cpu-baseline-synthetic
