slot,latency_us,deadline_miss,emulation_mode,measurement_type
0,525462.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
1,20791.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
2,20064.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
3,19210.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
4,27976.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
5,16654.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
6,16815.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
7,17576.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
8,18105.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
9,19503.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
10,20125.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
11,14499.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
12,15460.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
13,15346.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
14,18721.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
15,32170.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
16,20978.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
17,16259.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
18,24910.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
19,19051.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
20,18646.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
21,21681.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
22,18449.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
23,18814.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
24,18393.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
25,16587.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
26,18547.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
27,18424.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
28,18556.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
29,18445.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
30,17762.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
31,18630.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
32,18095.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
33,18054.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
34,19782.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
35,20208.000,1,wsl2-mmap-shm-fallback,synchronous-cpu-ipc
