sample_id,t_base_ns,t_probe_ns,overhead_ns,reps_per_run,cb_bits,emulation_mode
0,199049.7,240626.6,41577.0,1000,9216,wsl2-mmap-shm-fallback
1,200784.3,266358.4,65574.1,1000,9216,wsl2-mmap-shm-fallback
2,202105.3,230977.4,28872.2,1000,9216,wsl2-mmap-shm-fallback
3,201663.0,230400.0,28737.0,1000,9216,wsl2-mmap-shm-fallback
4,201222.7,215831.4,14608.7,1000,9216,wsl2-mmap-shm-fallback
5,200347.8,220478.5,20130.6,1000,9216,wsl2-mmap-shm-fallback
6,203893.8,228118.8,24225.0,1000,9216,wsl2-mmap-shm-fallback
7,207567.6,207101.1,-466.4,1000,9216,wsl2-mmap-shm-fallback
8,203893.8,207567.6,3673.8,1000,9216,wsl2-mmap-shm-fallback
9,204800.0,208506.8,3706.8,1000,9216,wsl2-mmap-shm-fallback
10,201663.0,209931.7,8268.6,1000,9216,wsl2-mmap-shm-fallback
11,202995.6,217872.3,14876.7,1000,9216,wsl2-mmap-shm-fallback
12,213828.3,222072.3,8244.0,1000,9216,wsl2-mmap-shm-fallback
13,208036.1,244456.2,36420.1,1000,9216,wsl2-mmap-shm-fallback
14,207101.1,204345.9,-2755.2,1000,9216,wsl2-mmap-shm-fallback
15,200347.8,227555.6,27207.7,1000,9216,wsl2-mmap-shm-fallback
16,218907.4,203893.8,-15013.6,1000,9216,wsl2-mmap-shm-fallback
17,203443.7,224780.5,21336.8,1000,9216,wsl2-mmap-shm-fallback
18,207101.1,236307.7,29206.6,1000,9216,wsl2-mmap-shm-fallback
19,218388.6,226995.1,8606.4,1000,9216,wsl2-mmap-shm-fallback
20,198620.7,210892.4,12271.8,1000,9216,wsl2-mmap-shm-fallback
21,212840.6,227555.6,14714.9,1000,9216,wsl2-mmap-shm-fallback
22,201222.7,239376.6,38153.9,1000,9216,wsl2-mmap-shm-fallback
23,224233.6,205714.3,-18519.3,1000,9216,wsl2-mmap-shm-fallback
24,211862.1,206174.5,-5687.6,1000,9216,wsl2-mmap-shm-fallback
25,203893.8,206174.5,2280.7,1000,9216,wsl2-mmap-shm-fallback
26,211376.1,205256.1,-6120.0,1000,9216,wsl2-mmap-shm-fallback
27,208979.6,206636.8,-2342.8,1000,9216,wsl2-mmap-shm-fallback
28,207101.1,208506.8,1405.7,1000,9216,wsl2-mmap-shm-fallback
29,209454.5,217872.3,8417.8,1000,9216,wsl2-mmap-shm-fallback
30,203443.7,210411.0,6967.3,1000,9216,wsl2-mmap-shm-fallback
31,203443.7,211862.1,8418.4,1000,9216,wsl2-mmap-shm-fallback
32,202105.3,212350.2,10245.0,1000,9216,wsl2-mmap-shm-fallback
33,199480.5,209454.5,9974.0,1000,9216,wsl2-mmap-shm-fallback
34,208506.8,229825.4,21318.6,1000,9216,wsl2-mmap-shm-fallback
35,227555.6,212350.2,-15205.3,1000,9216,wsl2-mmap-shm-fallback
