call_id,overhead_ns,emulation_mode
0,56,ebpf-noop-bpftrace-active
1,20,ebpf-noop-bpftrace-active
2,16,ebpf-noop-bpftrace-active
3,15,ebpf-noop-bpftrace-active
4,16,ebpf-noop-bpftrace-active
5,17,ebpf-noop-bpftrace-active
6,17,ebpf-noop-bpftrace-active
7,17,ebpf-noop-bpftrace-active
8,16,ebpf-noop-bpftrace-active
9,16,ebpf-noop-bpftrace-active
10,15,ebpf-noop-bpftrace-active
11,16,ebpf-noop-bpftrace-active
12,15,ebpf-noop-bpftrace-active
13,15,ebpf-noop-bpftrace-active
14,16,ebpf-noop-bpftrace-active
15,16,ebpf-noop-bpftrace-active
16,15,ebpf-noop-bpftrace-active
17,15,ebpf-noop-bpftrace-active
18,16,ebpf-noop-bpftrace-active
19,15,ebpf-noop-bpftrace-active
20,16,ebpf-noop-bpftrace-active
21,15,ebpf-noop-bpftrace-active
22,16,ebpf-noop-bpftrace-active
23,15,ebpf-noop-bpftrace-active
24,16,ebpf-noop-bpftrace-active
25,15,ebpf-noop-bpftrace-active
26,16,ebpf-noop-bpftrace-active
27,15,ebpf-noop-bpftrace-active
28,15,ebpf-noop-bpftrace-active
29,15,ebpf-noop-bpftrace-active
30,15,ebpf-noop-bpftrace-active
31,15,ebpf-noop-bpftrace-active
32,15,ebpf-noop-bpftrace-active
33,15,ebpf-noop-bpftrace-active
34,16,ebpf-noop-bpftrace-active
35,17,ebpf-noop-bpftrace-active
36,14,ebpf-noop-bpftrace-active
37,15,ebpf-noop-bpftrace-active
38,16,ebpf-noop-bpftrace-active
39,15,ebpf-noop-bpftrace-active
40,15,ebpf-noop-bpftrace-active
41,16,ebpf-noop-bpftrace-active
42,15,ebpf-noop-bpftrace-active
43,16,ebpf-noop-bpftrace-active
44,16,ebpf-noop-bpftrace-active
45,17,ebpf-noop-bpftrace-active
46,16,ebpf-noop-bpftrace-active
47,17,ebpf-noop-bpftrace-active
48,16,ebpf-noop-bpftrace-active
49,16,ebpf-noop-bpftrace-active
50,16,ebpf-noop-bpftrace-active
51,17,ebpf-noop-bpftrace-active
52,15,ebpf-noop-bpftrace-active
53,15,ebpf-noop-bpftrace-active
54,16,ebpf-noop-bpftrace-active
55,16,ebpf-noop-bpftrace-active
56,15,ebpf-noop-bpftrace-active
57,17,ebpf-noop-bpftrace-active
58,14,ebpf-noop-bpftrace-active
59,15,ebpf-noop-bpftrace-active
60,15,ebpf-noop-bpftrace-active
61,15,ebpf-noop-bpftrace-active
62,16,ebpf-noop-bpftrace-active
63,15,ebpf-noop-bpftrace-active
64,16,ebpf-noop-bpftrace-active
65,15,ebpf-noop-bpftrace-active
66,15,ebpf-noop-bpftrace-active
