timestamp_ns,packet_len,direction,emulation_mode
154561045834635,74,in,oai-rfsim-netns-veth-bpftime
154561047622353,66,in,oai-rfsim-netns-veth-bpftime
154561048889857,66,in,oai-rfsim-netns-veth-bpftime
154561048905965,66,in,oai-rfsim-netns-veth-bpftime
154561049943477,66,in,oai-rfsim-netns-veth-bpftime
154561049973549,66,in,oai-rfsim-netns-veth-bpftime
154561049980352,66,in,oai-rfsim-netns-veth-bpftime
154561050050358,66,in,oai-rfsim-netns-veth-bpftime
154561050052898,66,in,oai-rfsim-netns-veth-bpftime
154561050055830,66,in,oai-rfsim-netns-veth-bpftime
154561096037913,66,in,oai-rfsim-netns-veth-bpftime
154561140181464,78,in,oai-rfsim-netns-veth-bpftime
154561346470177,66,in,oai-rfsim-netns-veth-bpftime
154561346639253,66,in,oai-rfsim-netns-veth-bpftime
154561346658990,66,in,oai-rfsim-netns-veth-bpftime
154561346660682,66,in,oai-rfsim-netns-veth-bpftime
154561346662929,66,in,oai-rfsim-netns-veth-bpftime
154561346664653,66,in,oai-rfsim-netns-veth-bpftime
154561346755365,66,in,oai-rfsim-netns-veth-bpftime
154561346761923,66,in,oai-rfsim-netns-veth-bpftime
154561346766882,66,in,oai-rfsim-netns-veth-bpftime
154561346770344,66,in,oai-rfsim-netns-veth-bpftime
154561346774314,66,in,oai-rfsim-netns-veth-bpftime
154561346780827,66,in,oai-rfsim-netns-veth-bpftime
154561346784824,66,in,oai-rfsim-netns-veth-bpftime
154561346788100,66,in,oai-rfsim-netns-veth-bpftime
154561346791022,66,in,oai-rfsim-netns-veth-bpftime
154561346806545,66,in,oai-rfsim-netns-veth-bpftime
154561347068149,66,in,oai-rfsim-netns-veth-bpftime
154561347722143,98,in,oai-rfsim-netns-veth-bpftime
154561347759553,66,in,oai-rfsim-netns-veth-bpftime
154561347763499,66,in,oai-rfsim-netns-veth-bpftime
154561347778565,7306,in,oai-rfsim-netns-veth-bpftime
154561347821166,7306,in,oai-rfsim-netns-veth-bpftime
154561347850795,14546,in,oai-rfsim-netns-veth-bpftime
154561347867778,1826,in,oai-rfsim-netns-veth-bpftime
154561347892778,98,in,oai-rfsim-netns-veth-bpftime
154561347916726,23234,in,oai-rfsim-netns-veth-bpftime
154561347931584,7618,in,oai-rfsim-netns-veth-bpftime
154561347941497,98,in,oai-rfsim-netns-veth-bpftime
154561347950080,30786,in,oai-rfsim-netns-veth-bpftime
154561347958216,98,in,oai-rfsim-netns-veth-bpftime
154561347978444,30786,in,oai-rfsim-netns-veth-bpftime
154561348445404,30474,in,oai-rfsim-netns-veth-bpftime
