slot,latency_us,deadline_miss,emulation_mode
0,525462,1,ebpf-cxl-offload
1,20791,1,ebpf-cxl-offload
2,20064,1,ebpf-cxl-offload
3,19210,1,ebpf-cxl-offload
4,27976,1,ebpf-cxl-offload
5,16654,1,ebpf-cxl-offload
6,16815,1,ebpf-cxl-offload
7,17576,1,ebpf-cxl-offload
8,18105,1,ebpf-cxl-offload
9,19503,1,ebpf-cxl-offload
10,20125,1,ebpf-cxl-offload
11,14499,1,ebpf-cxl-offload
12,15460,1,ebpf-cxl-offload
13,15346,1,ebpf-cxl-offload
14,18721,1,ebpf-cxl-offload
15,32170,1,ebpf-cxl-offload
16,20978,1,ebpf-cxl-offload
17,16259,1,ebpf-cxl-offload
18,24910,1,ebpf-cxl-offload
19,19051,1,ebpf-cxl-offload
20,18646,1,ebpf-cxl-offload
21,21681,1,ebpf-cxl-offload
22,18449,1,ebpf-cxl-offload
23,18814,1,ebpf-cxl-offload
24,18393,1,ebpf-cxl-offload
25,16587,1,ebpf-cxl-offload
26,18547,1,ebpf-cxl-offload
27,18424,1,ebpf-cxl-offload
28,18556,1,ebpf-cxl-offload
29,18445,1,ebpf-cxl-offload
30,17762,1,ebpf-cxl-offload
31,18630,1,ebpf-cxl-offload
32,18095,1,ebpf-cxl-offload
33,18054,1,ebpf-cxl-offload
34,19782,1,ebpf-cxl-offload
35,20208,1,ebpf-cxl-offload
36,18293,1,ebpf-cxl-offload
37,18214,1,ebpf-cxl-offload
38,18786,1,ebpf-cxl-offload
39,16465,1,ebpf-cxl-offload
40,20473,1,ebpf-cxl-offload
41,13429,1,ebpf-cxl-offload
42,16643,1,ebpf-cxl-offload
43,14645,1,ebpf-cxl-offload
44,12350,1,ebpf-cxl-offload
45,15504,1,ebpf-cxl-offload
46,18826,1,ebpf-cxl-offload
47,24614,1,ebpf-cxl-offload
48,14177,1,ebpf-cxl-offload
49,16249,1,ebpf-cxl-offload
50,14715,1,ebpf-cxl-offload
51,11464,1,ebpf-cxl-offload
52,23502,1,ebpf-cxl-offload
53,18967,1,ebpf-cxl-offload
54,24119,1,ebpf-cxl-offload
55,22409,1,ebpf-cxl-offload
56,22940,1,ebpf-cxl-offload
57,18736,1,ebpf-cxl-offload
58,15313,1,ebpf-cxl-offload
59,18456,1,ebpf-cxl-offload
60,15176,1,ebpf-cxl-offload
61,14151,1,ebpf-cxl-offload
62,19458,1,ebpf-cxl-offload
63,23361,1,ebpf-cxl-offload
64,12860,1,ebpf-cxl-offload
65,19633,1,ebpf-cxl-offload
66,18396,1,ebpf-cxl-offload
67,19473,1,ebpf-cxl-offload
68,18311,1,ebpf-cxl-offload
69,20805,1,ebpf-cxl-offload
70,19888,1,ebpf-cxl-offload
71,15914,1,ebpf-cxl-offload
72,17431,1,ebpf-cxl-offload
73,20788,1,ebpf-cxl-offload
74,21205,1,ebpf-cxl-offload
75,17698,1,ebpf-cxl-offload
76,17562,1,ebpf-cxl-offload
77,18314,1,ebpf-cxl-offload
78,17913,1,ebpf-cxl-offload
79,20023,1,ebpf-cxl-offload
80,19133,1,ebpf-cxl-offload
81,18135,1,ebpf-cxl-offload
82,17320,1,ebpf-cxl-offload
83,18358,1,ebpf-cxl-offload
84,21841,1,ebpf-cxl-offload
85,18545,1,ebpf-cxl-offload
86,18310,1,ebpf-cxl-offload
87,18399,1,ebpf-cxl-offload
88,17480,1,ebpf-cxl-offload
89,18815,1,ebpf-cxl-offload
90,18561,1,ebpf-cxl-offload
91,19306,1,ebpf-cxl-offload
92,17388,1,ebpf-cxl-offload
93,18096,1,ebpf-cxl-offload
94,20740,1,ebpf-cxl-offload
95,18850,1,ebpf-cxl-offload
96,20306,1,ebpf-cxl-offload
97,20889,1,ebpf-cxl-offload
98,22693,1,ebpf-cxl-offload
99,13366,1,ebpf-cxl-offload
