slot,latency_us,deadline_miss,emulation_mode
0,169822,1,qemu-cxl-persistent-memdev-node1
1,110260,1,qemu-cxl-persistent-memdev-node1
2,136326,1,qemu-cxl-persistent-memdev-node1
3,109907,1,qemu-cxl-persistent-memdev-node1
4,106792,1,qemu-cxl-persistent-memdev-node1
5,112198,1,qemu-cxl-persistent-memdev-node1
6,106093,1,qemu-cxl-persistent-memdev-node1
7,106440,1,qemu-cxl-persistent-memdev-node1
8,118785,1,qemu-cxl-persistent-memdev-node1
9,111448,1,qemu-cxl-persistent-memdev-node1
10,109082,1,qemu-cxl-persistent-memdev-node1
11,108327,1,qemu-cxl-persistent-memdev-node1
12,137541,1,qemu-cxl-persistent-memdev-node1
13,199960,1,qemu-cxl-persistent-memdev-node1
14,172814,1,qemu-cxl-persistent-memdev-node1
15,152771,1,qemu-cxl-persistent-memdev-node1
16,161296,1,qemu-cxl-persistent-memdev-node1
17,141493,1,qemu-cxl-persistent-memdev-node1
18,127483,1,qemu-cxl-persistent-memdev-node1
19,115749,1,qemu-cxl-persistent-memdev-node1
20,127306,1,qemu-cxl-persistent-memdev-node1
21,120756,1,qemu-cxl-persistent-memdev-node1
22,126245,1,qemu-cxl-persistent-memdev-node1
23,132086,1,qemu-cxl-persistent-memdev-node1
24,143272,1,qemu-cxl-persistent-memdev-node1
25,127235,1,qemu-cxl-persistent-memdev-node1
26,119185,1,qemu-cxl-persistent-memdev-node1
27,132682,1,qemu-cxl-persistent-memdev-node1
28,139087,1,qemu-cxl-persistent-memdev-node1
29,160544,1,qemu-cxl-persistent-memdev-node1
30,136765,1,qemu-cxl-persistent-memdev-node1
31,141775,1,qemu-cxl-persistent-memdev-node1
32,127913,1,qemu-cxl-persistent-memdev-node1
33,134760,1,qemu-cxl-persistent-memdev-node1
34,146077,1,qemu-cxl-persistent-memdev-node1
35,136324,1,qemu-cxl-persistent-memdev-node1
36,127797,1,qemu-cxl-persistent-memdev-node1
37,176743,1,qemu-cxl-persistent-memdev-node1
38,173692,1,qemu-cxl-persistent-memdev-node1
39,171678,1,qemu-cxl-persistent-memdev-node1
40,231077,1,qemu-cxl-persistent-memdev-node1
41,255831,1,qemu-cxl-persistent-memdev-node1
42,170462,1,qemu-cxl-persistent-memdev-node1
43,124834,1,qemu-cxl-persistent-memdev-node1
44,127897,1,qemu-cxl-persistent-memdev-node1
45,126228,1,qemu-cxl-persistent-memdev-node1
46,148092,1,qemu-cxl-persistent-memdev-node1
47,162085,1,qemu-cxl-persistent-memdev-node1
48,125606,1,qemu-cxl-persistent-memdev-node1
49,113857,1,qemu-cxl-persistent-memdev-node1
