slot,latency_us,deadline_miss,emulation_mode,numa_node
0,1239891,1,qemu-cxl-persistent-memdev-node1,0
1,1234471,1,qemu-cxl-persistent-memdev-node1,0
2,1215312,1,qemu-cxl-persistent-memdev-node1,0
3,1218305,1,qemu-cxl-persistent-memdev-node1,0
4,1224708,1,qemu-cxl-persistent-memdev-node1,0
5,1222621,1,qemu-cxl-persistent-memdev-node1,0
6,1232482,1,qemu-cxl-persistent-memdev-node1,0
7,1215292,1,qemu-cxl-persistent-memdev-node1,0
8,1215161,1,qemu-cxl-persistent-memdev-node1,0
9,1217098,1,qemu-cxl-persistent-memdev-node1,0
10,1211316,1,qemu-cxl-persistent-memdev-node1,0
11,1223862,1,qemu-cxl-persistent-memdev-node1,0
12,1222361,1,qemu-cxl-persistent-memdev-node1,0
13,1232468,1,qemu-cxl-persistent-memdev-node1,0
14,1220387,1,qemu-cxl-persistent-memdev-node1,0
15,1206758,1,qemu-cxl-persistent-memdev-node1,0
16,1232299,1,qemu-cxl-persistent-memdev-node1,0
17,1225510,1,qemu-cxl-persistent-memdev-node1,0
18,1236745,1,qemu-cxl-persistent-memdev-node1,0
19,1218900,1,qemu-cxl-persistent-memdev-node1,0
20,1229373,1,qemu-cxl-persistent-memdev-node1,0
21,1232670,1,qemu-cxl-persistent-memdev-node1,0
22,1214581,1,qemu-cxl-persistent-memdev-node1,0
23,1216171,1,qemu-cxl-persistent-memdev-node1,0
24,1210058,1,qemu-cxl-persistent-memdev-node1,0
25,1225999,1,qemu-cxl-persistent-memdev-node1,0
26,1222953,1,qemu-cxl-persistent-memdev-node1,0
27,1222902,1,qemu-cxl-persistent-memdev-node1,0
28,1216476,1,qemu-cxl-persistent-memdev-node1,0
29,1228183,1,qemu-cxl-persistent-memdev-node1,0
30,1215417,1,qemu-cxl-persistent-memdev-node1,0
31,1232740,1,qemu-cxl-persistent-memdev-node1,0
32,1208569,1,qemu-cxl-persistent-memdev-node1,0
33,1222460,1,qemu-cxl-persistent-memdev-node1,0
34,1213487,1,qemu-cxl-persistent-memdev-node1,0
35,1222184,1,qemu-cxl-persistent-memdev-node1,0
36,1216028,1,qemu-cxl-persistent-memdev-node1,0
37,1221633,1,qemu-cxl-persistent-memdev-node1,0
38,1221918,1,qemu-cxl-persistent-memdev-node1,0
39,1223996,1,qemu-cxl-persistent-memdev-node1,0
40,1216229,1,qemu-cxl-persistent-memdev-node1,0
41,1215681,1,qemu-cxl-persistent-memdev-node1,0
42,1216636,1,qemu-cxl-persistent-memdev-node1,0
43,1214116,1,qemu-cxl-persistent-memdev-node1,0
44,1207950,1,qemu-cxl-persistent-memdev-node1,0
45,1224572,1,qemu-cxl-persistent-memdev-node1,0
46,1219829,1,qemu-cxl-persistent-memdev-node1,0
47,1220569,1,qemu-cxl-persistent-memdev-node1,0
48,1209557,1,qemu-cxl-persistent-memdev-node1,0
49,1221809,1,qemu-cxl-persistent-memdev-node1,0
