slot,latency_us,deadline_miss,emulation_mode,note,emulation_method
0,815.576,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
1,782.676,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
2,806.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
3,879.808,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
4,871.488,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
5,875.628,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
6,801.392,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
7,896.936,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
8,777.720,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
9,782.676,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
10,903.528,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
11,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
12,875.628,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
13,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
14,871.488,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
15,806.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
16,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
17,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
18,905.748,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
19,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
20,905.748,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
21,841.644,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
22,869.432,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
23,940.408,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
24,779.364,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
25,794.484,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
26,810.196,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
27,815.576,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
28,808.420,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
29,841.644,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
30,796.200,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
31,804.892,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
32,796.200,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
33,776.084,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
34,919.300,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
35,877.716,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
36,804.892,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
37,808.420,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
38,801.392,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
39,796.200,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
40,794.484,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
41,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
42,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
43,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
44,1012.748,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
45,926.232,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
46,819.200,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
47,784.340,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
48,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
49,811.984,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
50,796.200,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
51,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
52,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
53,1018.344,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
54,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
55,857.304,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
56,940.408,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
57,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
58,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
59,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
60,804.892,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
61,797.924,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
62,884.028,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
63,799.652,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
64,837.820,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
65,784.340,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
66,942.812,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
67,907.980,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
68,801.392,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
69,835.920,1,cxl-proxy-142ns-emulated,SINGLE NODE WSL2 — real CXL 142ns requires dual-NUMA or QEMU CXL; Pond ASPLOS23 reference,software-synthetic-wsl2
