cb_index,llr_len,decode_us,bit_diff,e2e_us,emulation_mode,source
0,9216,17750.0,-1,237370.1,gcp_kvm_cxl_bpftime_node1,measured
1,25344,16813.8,-1,17003.9,gcp_kvm_cxl_bpftime_node1,measured
2,25344,16588.9,-1,16805.0,gcp_kvm_cxl_bpftime_node1,measured
3,25344,16889.8,-1,17059.8,gcp_kvm_cxl_bpftime_node1,measured
4,25344,16964.8,-1,17187.2,gcp_kvm_cxl_bpftime_node1,measured
5,25344,16874.6,-1,17054.7,gcp_kvm_cxl_bpftime_node1,measured
6,25344,24122.9,-1,24233.7,gcp_kvm_cxl_bpftime_node1,measured
7,25344,16624.9,-1,16787.4,gcp_kvm_cxl_bpftime_node1,measured
8,25344,16426.8,-1,16640.1,gcp_kvm_cxl_bpftime_node1,measured
9,25344,16407.7,-1,16671.6,gcp_kvm_cxl_bpftime_node1,measured
10,25344,16363.1,-1,16591.2,gcp_kvm_cxl_bpftime_node1,measured
11,25344,16916.7,-1,17215.9,gcp_kvm_cxl_bpftime_node1,measured
12,25344,16455.7,-1,16689.4,gcp_kvm_cxl_bpftime_node1,measured
13,25344,16413.2,-1,16629.7,gcp_kvm_cxl_bpftime_node1,measured
14,25344,16552.9,-1,17263.7,gcp_kvm_cxl_bpftime_node1,measured
15,25344,16439.5,-1,16656.2,gcp_kvm_cxl_bpftime_node1,measured
16,25344,16569.6,-1,16934.5,gcp_kvm_cxl_bpftime_node1,measured
17,25344,16470.0,-1,16679.0,gcp_kvm_cxl_bpftime_node1,measured
18,25344,16541.4,-1,16994.9,gcp_kvm_cxl_bpftime_node1,measured
19,25344,16689.7,-1,16907.7,gcp_kvm_cxl_bpftime_node1,measured
20,25344,16583.5,-1,16792.7,gcp_kvm_cxl_bpftime_node1,measured
21,25344,16788.7,-1,16980.4,gcp_kvm_cxl_bpftime_node1,measured
22,25344,16775.9,-1,16983.7,gcp_kvm_cxl_bpftime_node1,measured
23,25344,16587.4,-1,16870.6,gcp_kvm_cxl_bpftime_node1,measured
24,25344,17031.9,-1,17576.0,gcp_kvm_cxl_bpftime_node1,measured
25,25344,17003.5,-1,17606.2,gcp_kvm_cxl_bpftime_node1,measured
26,25344,16768.2,-1,17326.6,gcp_kvm_cxl_bpftime_node1,measured
27,4608,14813.2,-1,15015.1,gcp_kvm_cxl_bpftime_node1,measured
28,4608,10089.7,-1,10230.9,gcp_kvm_cxl_bpftime_node1,measured
29,4608,15382.6,-1,15475.9,gcp_kvm_cxl_bpftime_node1,measured
30,4608,10109.3,-1,10808.9,gcp_kvm_cxl_bpftime_node1,measured
31,4608,10396.2,-1,10702.5,gcp_kvm_cxl_bpftime_node1,measured
32,4608,10571.2,-1,10847.7,gcp_kvm_cxl_bpftime_node1,measured
33,4608,10239.4,-1,10432.3,gcp_kvm_cxl_bpftime_node1,measured
34,4608,10118.9,-1,10406.1,gcp_kvm_cxl_bpftime_node1,measured
35,19200,11055.9,-1,11643.9,gcp_kvm_cxl_bpftime_node1,measured
36,19200,11145.3,-1,11757.5,gcp_kvm_cxl_bpftime_node1,measured
37,19200,10933.6,-1,11551.0,gcp_kvm_cxl_bpftime_node1,measured
38,19200,10809.1,-1,11233.4,gcp_kvm_cxl_bpftime_node1,measured
39,19200,10963.3,-1,11313.6,gcp_kvm_cxl_bpftime_node1,measured
40,19200,10790.6,-1,11021.3,gcp_kvm_cxl_bpftime_node1,measured
41,19200,17167.2,-1,17853.3,gcp_kvm_cxl_bpftime_node1,measured
42,19200,10992.5,-1,11160.1,gcp_kvm_cxl_bpftime_node1,measured
43,19200,10655.1,-1,10873.8,gcp_kvm_cxl_bpftime_node1,measured
44,19200,10757.6,-1,11297.9,gcp_kvm_cxl_bpftime_node1,measured
45,19200,10966.9,-1,11381.0,gcp_kvm_cxl_bpftime_node1,measured
46,19200,10994.7,-1,11265.3,gcp_kvm_cxl_bpftime_node1,measured
47,19200,10610.7,-1,11304.8,gcp_kvm_cxl_bpftime_node1,measured
48,19200,10684.7,-1,11019.0,gcp_kvm_cxl_bpftime_node1,measured
49,19200,10589.0,-1,10993.8,gcp_kvm_cxl_bpftime_node1,measured
50,19200,10824.2,-1,11184.1,gcp_kvm_cxl_bpftime_node1,measured
51,19200,10946.4,-1,11520.5,gcp_kvm_cxl_bpftime_node1,measured
52,19200,11033.2,-1,11352.8,gcp_kvm_cxl_bpftime_node1,measured
53,19200,10860.6,-1,11173.9,gcp_kvm_cxl_bpftime_node1,measured
54,19200,10746.2,-1,11155.9,gcp_kvm_cxl_bpftime_node1,measured
55,19200,11398.6,-1,11816.2,gcp_kvm_cxl_bpftime_node1,measured
56,19200,11081.5,-1,11506.7,gcp_kvm_cxl_bpftime_node1,measured
57,19200,10700.7,-1,11195.2,gcp_kvm_cxl_bpftime_node1,measured
58,19200,10806.7,-1,11315.5,gcp_kvm_cxl_bpftime_node1,measured
59,19200,10921.7,-1,11275.8,gcp_kvm_cxl_bpftime_node1,measured
60,19200,10793.3,-1,11002.8,gcp_kvm_cxl_bpftime_node1,measured
61,19200,11076.4,-1,11759.4,gcp_kvm_cxl_bpftime_node1,measured
62,19200,11217.3,-1,11486.3,gcp_kvm_cxl_bpftime_node1,measured
63,19200,10939.6,-1,11378.8,gcp_kvm_cxl_bpftime_node1,measured
64,19200,10872.0,-1,11145.9,gcp_kvm_cxl_bpftime_node1,measured
65,19200,10776.0,-1,11188.6,gcp_kvm_cxl_bpftime_node1,measured
66,19200,11282.2,-1,11571.5,gcp_kvm_cxl_bpftime_node1,measured
67,19200,11256.8,-1,11679.1,gcp_kvm_cxl_bpftime_node1,measured
68,19200,11223.4,-1,11542.7,gcp_kvm_cxl_bpftime_node1,measured
69,19200,10891.2,-1,11183.1,gcp_kvm_cxl_bpftime_node1,measured
70,19200,10859.8,-1,11430.1,gcp_kvm_cxl_bpftime_node1,measured
71,19200,11160.1,-1,11584.4,gcp_kvm_cxl_bpftime_node1,measured
72,19200,10822.9,-1,11255.2,gcp_kvm_cxl_bpftime_node1,measured
73,19200,11047.1,-1,11451.2,gcp_kvm_cxl_bpftime_node1,measured
74,19200,11043.8,-1,11451.9,gcp_kvm_cxl_bpftime_node1,measured
75,19200,10837.4,-1,11062.0,gcp_kvm_cxl_bpftime_node1,measured
76,19200,11033.3,-1,11509.8,gcp_kvm_cxl_bpftime_node1,measured
77,19200,11059.8,-1,11352.7,gcp_kvm_cxl_bpftime_node1,measured
78,19200,10930.9,-1,11379.6,gcp_kvm_cxl_bpftime_node1,measured
79,19200,10697.4,-1,11043.0,gcp_kvm_cxl_bpftime_node1,measured
80,19200,10839.0,-1,11210.3,gcp_kvm_cxl_bpftime_node1,measured
81,19200,11396.7,-1,11838.5,gcp_kvm_cxl_bpftime_node1,measured
82,19200,10966.0,-1,11351.5,gcp_kvm_cxl_bpftime_node1,measured
83,19200,10674.8,-1,11157.4,gcp_kvm_cxl_bpftime_node1,measured
84,19200,10870.8,-1,11189.1,gcp_kvm_cxl_bpftime_node1,measured
85,19200,11333.5,-1,11599.8,gcp_kvm_cxl_bpftime_node1,measured
86,19200,10580.3,-1,10969.9,gcp_kvm_cxl_bpftime_node1,measured
